333.7646484375+0i,1.8620831845734+0i
336.456298828125+0i,1.72174484795832+0i
339.14794921875+0i,1.75267127602517+0i
341.839599609375+0i,1.71934971726951+0i
344.53125+0i,1.76908991339502+0i
347.222900390625+0i,1.80505002877868+0i
349.91455078125+0i,1.79255474406835+0i
352.606201171875+0i,1.78537912787672+0i
355.2978515625+0i,1.79202046586949+0i
357.989501953125+0i,1.70681394839986+0i
360.68115234375+0i,1.67842823619546+0i
363.372802734375+0i,1.60897902921485+0i
366.064453125+0i,1.57943243770477+0i
368.756103515625+0i,1.63987113011964+0i
371.44775390625+0i,1.60928349117956+0i
374.139404296875+0i,1.57580460303047+0i
376.8310546875+0i,1.49988384887579+0i
379.522705078125+0i,1.50012787597624+0i
382.21435546875+0i,1.48865037983002+0i
384.906005859375+0i,1.46557986843054+0i
387.59765625+0i,1.46303747202515+0i
390.289306640625+0i,1.49074598984373+0i
392.98095703125+0i,1.51724253799742+0i
395.672607421875+0i,1.51043189259164+0i
398.3642578125+0i,1.51115702564229+0i
401.055908203125+0i,1.57466842978903+0i
403.74755859375+0i,1.62900597834072+0i
406.439208984375+0i,1.59699165989314+0i
409.130859375+0i,1.60018451078339+0i
411.822509765625+0i,1.60161915046343+0i
414.51416015625+0i,1.59731288534764+0i
417.205810546875+0i,1.56844940938218+0i
419.8974609375+0i,1.52820249857331+0i
422.589111328125+0i,1.50018926244429+0i
425.28076171875+0i,1.48688081175283+0i
427.972412109375+0i,1.4741829190499+0i
430.6640625+0i,1.46767278856939+0i
433.355712890625+0i,1.47152339244173+0i
436.04736328125+0i,1.46175112699506+0i
438.739013671875+0i,1.44993284796954+0i
441.4306640625+0i,1.44614467106592+0i
444.122314453125+0i,1.40189236797096+0i
446.81396484375+0i,1.3667157916945+0i
449.505615234375+0i,1.33388014693566+0i
452.197265625+0i,1.31705228086101+0i
454.888916015625+0i,1.27697875973019+0i
457.58056640625+0i,1.25753660141902+0i
460.272216796875+0i,1.23487750686897+0i
462.9638671875+0i,1.22945851735112+0i
465.655517578125+0i,1.21592696043661+0i
468.34716796875+0i,1.2190212159436+0i
471.038818359375+0i,1.19441214017503+0i
473.73046875+0i,1.16866754484639+0i
476.422119140625+0i,1.14994851002628+0i
479.11376953125+0i,1.14308650755306+0i
481.805419921875+0i,1.14625100754409+0i
484.4970703125+0i,1.1487623119178+0i
487.188720703125+0i,1.15308931806314+0i
489.88037109375+0i,1.11725446428822+0i
492.572021484375+0i,1.11364427183764+0i
495.263671875+0i,1.11579977868225+0i
497.955322265625+0i,1.1249716223387+0i
500.64697265625+0i,1.15684175895652+0i
503.338623046875+0i,1.14489402256066+0i
506.0302734375+0i,1.10935453809732+0i
508.721923828125+0i,1.09600660446587+0i
511.41357421875+0i,1.11891793671432+0i
514.105224609375+0i,1.13986396257943+0i
516.796875+0i,1.15523998162409+0i
519.488525390625+0i,1.14273966462274+0i
522.18017578125+0i,1.14164228849112+0i
524.871826171875+0i,1.1101933187314+0i
527.5634765625+0i,1.08376436875309+0i
530.255126953125+0i,1.04583236227063+0i
532.94677734375+0i,1.00132679971044+0i
535.638427734375+0i,0.993738158589895+0i
538.330078125+0i,0.949118847588432+0i
541.021728515625+0i,0.919067311335351+0i
543.71337890625+0i,0.882718222165647+0i
546.405029296875+0i,0.864218175901864+0i
549.0966796875+0i,0.846505576287696+0i
551.788330078125+0i,0.830002718085907+0i
554.47998046875+0i,0.824094929867191+0i
557.171630859375+0i,0.808871316116991+0i
559.86328125+0i,0.80166174012538+0i
562.554931640625+0i,0.79400041125871+0i
565.24658203125+0i,0.792886370548171+0i
567.938232421875+0i,0.816246934526617+0i
570.6298828125+0i,0.817593834792173+0i
573.321533203125+0i,0.822448903419669+0i
576.01318359375+0i,0.825452491663826+0i
578.704833984375+0i,0.827508600288884+0i
581.396484375+0i,0.827100630005005+0i
584.088134765625+0i,0.841397606203135+0i
586.77978515625+0i,0.859578446377886+0i
589.471435546875+0i,0.834104093698895+0i
592.1630859375+0i,0.819849206511378+0i
594.854736328125+0i,0.81115951345746+0i
597.54638671875+0i,0.785441386808557+0i
600.238037109375+0i,0.799536140384288+0i
602.9296875+0i,0.822854259331659+0i
605.621337890625+0i,0.829233422836655+0i
608.31298828125+0i,0.812154467935602+0i
611.004638671875+0i,0.81741811645146+0i
613.6962890625+0i,0.808299445698591+0i
616.387939453125+0i,0.789421627108702+0i
619.07958984375+0i,0.799757859137485+0i
621.771240234375+0i,0.797669005064725+0i
624.462890625+0i,0.787570068142468+0i
627.154541015625+0i,0.747667441613934+0i
629.84619140625+0i,0.753840167109435+0i
632.537841796875+0i,0.768210629871132+0i
635.2294921875+0i,0.743866091723623+0i
637.921142578125+0i,0.759276566729249+0i
640.61279296875+0i,0.76642581226716+0i
643.304443359375+0i,0.773242034188787+0i
645.99609375+0i,0.787276141221241+0i
648.687744140625+0i,0.801405857805076+0i
651.37939453125+0i,0.80692794761155+0i
654.071044921875+0i,0.819225167189197+0i
656.7626953125+0i,0.824406377205696+0i
659.454345703125+0i,0.862278900414516+0i
662.14599609375+0i,0.867863825439717+0i
664.837646484375+0i,0.865955424383649+0i
667.529296875+0i,0.853423277436026+0i
670.220947265625+0i,0.836402930752391+0i
672.91259765625+0i,0.806327511261046+0i
675.604248046875+0i,0.796916238137038+0i
678.2958984375+0i,0.788498205035001+0i
680.987548828125+0i,0.786491753924281+0i
683.67919921875+0i,0.777898423916596+0i
686.370849609375+0i,0.75637288893067+0i
689.0625+0i,0.751237181739574+0i
691.754150390625+0i,0.712818362861737+0i
694.44580078125+0i,0.676110244052534+0i
697.137451171875+0i,0.671484160036209+0i
699.8291015625+0i,0.663005347795742+0i
702.520751953125+0i,0.660556127155357+0i
705.21240234375+0i,0.651550914422991+0i
707.904052734375+0i,0.674892546678072+0i
710.595703125+0i,0.673846168628253+0i
713.287353515625+0i,0.664671153146169+0i
715.97900390625+0i,0.674684670598462+0i
718.670654296875+0i,0.676402811510561+0i
721.3623046875+0i,0.664193091928921+0i
