80.4130554199219+0i,411.531488480866-0.184237280908275i
80.74951171875+0i,411.549844304367-0.188545634250234i
81.0859680175781+0i,411.568370636196-0.192703991528605i
81.4224243164062+0i,411.587141722954-0.196802677579201i
81.7588806152344+0i,411.606260630931-0.200938986359203i
82.0953369140625+0i,411.625865150937-0.205218733924492i
82.4317932128906+0i,411.646117788769-0.209724130918092i
82.7682495117188+0i,411.667199136608-0.214530113079017i
83.1047058105469+0i,411.689306958324-0.219681754821927i
83.441162109375+0i,411.712642342471-0.225204999051776i
83.7776184082031+0i,411.737409201123-0.231087794781267i
84.1140747070312+0i,411.763799295261-0.23730047565252i
84.4505310058594+0i,411.792003368895-0.243815880541118i
84.7869873046875+0i,411.822214212083-0.250592796360868i
85.1234436035156+0i,411.854623597586-0.257621611218247i
85.4598999023438+0i,411.889440585079-0.264913312556358i
85.7963562011719+0i,411.926896915263-0.272511202702672i
86.1328125+0i,411.967256755684-0.2804871260944i
86.4692687988281+0i,412.01082825183-0.288963080331376i
86.8057250976562+0i,412.057962594077-0.298064702495819i
87.1421813964844+0i,412.109069965906-0.307932598474848i
87.4786376953125+0i,412.164611007218-0.318709758957927i
87.8150939941406+0i,412.225110039334-0.330522928161992i
88.1515502929688+0i,412.291142242217-0.343511116564254i
88.4880065917969+0i,412.363365394174-0.357782130583987i
88.824462890625+0i,412.442506014168-0.37345909358095i
89.1609191894531+0i,412.52939638802-0.390720240042156i
89.4973754882812+0i,412.625014088654-0.409785956092955i
89.8338317871094+0i,412.730502254398-0.430922886435999i
90.1702880859375+0i,412.847219827176-0.454537601459902i
90.5067443847656+0i,412.976821498113-0.48111173929486i
90.8432006835938+0i,413.121315336611-0.511227571643608i
91.1796569824219+0i,413.283127639914-0.545538786081972i
91.51611328125+0i,413.465251899667-0.584747910577398i
91.8525695800781+0i,413.671292742439-0.629591166778113i
92.1890258789062+0i,413.905690371157-0.680864608216273i
92.5254821777344+0i,414.17387306083-0.739311219298727i
92.8619384765625+0i,414.48255662923-0.80569236446871i
93.1983947753906+0i,414.840098494188-0.881007808725861i
93.5348510742188+0i,415.257012193042-0.966482324452241i
93.8713073730469+0i,415.746773157985-1.0637733205742i
94.207763671875+0i,416.326870282535-1.17534790359402i
94.5442199707031+0i,417.020398586386-1.30493067669602i
94.8806762695312+0i,417.858423244132-1.45791355741657i
95.2171325683594+0i,418.88348786086-1.64238477508078i
95.5535888671875+0i,420.155155197344-1.87009566370185i
95.8900451660156+0i,421.758642433907-2.15831886909048i
96.2265014648438+0i,423.819048910865-2.53291747701715i
96.5629577636719+0i,426.525725608056-3.03305790482849i
96.8994140625+0i,430.175297554312-3.72095517957997i
97.2358703613281+0i,435.252849101646-4.69834752764709i
97.5723266601562+0i,442.592918872144-6.14389271114088i
97.9087829589844+0i,453.72430441844-8.39560267283453i
98.2452392578125+0i,471.672560833046-12.1564979099889i
98.5816955566406+0i,503.02880381374-19.0879633549786i
98.9181518554688+0i,563.895988809042-33.85295691926i
99.2546081542969+0i,697.969485013722-72.6607472915387i
