1636.5234375+0i,0.421823082536592+0i
1639.21508789062+0i,0.412317691266708+0i
1641.90673828125+0i,0.411347294345321+0i
1644.59838867188+0i,0.420280064375061+0i
1647.2900390625+0i,0.422226654319798+0i
1649.98168945312+0i,0.419894937841115+0i
1652.67333984375+0i,0.420586813850285+0i
1655.36499023438+0i,0.417001632001516+0i
1658.056640625+0i,0.410752942982814+0i
1660.74829101562+0i,0.4074884207662+0i
1663.43994140625+0i,0.420306421538982+0i
1666.13159179688+0i,0.435079014321827+0i
1668.8232421875+0i,0.426879146773365+0i
1671.51489257812+0i,0.435635466241032+0i
1674.20654296875+0i,0.43617782123372+0i
1676.89819335938+0i,0.42794666166496+0i
1679.58984375+0i,0.426758407385825+0i
1682.28149414062+0i,0.432768239125582+0i
1684.97314453125+0i,0.421004357355145+0i
1687.66479492188+0i,0.411951397342671+0i
1690.3564453125+0i,0.422548340594288+0i
1693.04809570312+0i,0.433003331029755+0i
1695.73974609375+0i,0.439609999702584+0i
1698.43139648438+0i,0.418465859204635+0i
1701.123046875+0i,0.419221830714501+0i
1703.81469726562+0i,0.437670030044285+0i
1706.50634765625+0i,0.420096495462426+0i
1709.19799804688+0i,0.411439946106629+0i
1711.8896484375+0i,0.4082591793135+0i
1714.58129882812+0i,0.400622921766828+0i
1717.27294921875+0i,0.38250192046741+0i
1719.96459960938+0i,0.383201019570011+0i
1722.65625+0i,0.373456408155365+0i
1725.34790039062+0i,0.365820554765058+0i
1728.03955078125+0i,0.347791118231722+0i
1730.73120117188+0i,0.356701589413578+0i
1733.4228515625+0i,0.369910002446851+0i
1736.11450195312+0i,0.390849256260811+0i
1738.80615234375+0i,0.387485396703648+0i
1741.49780273438+0i,0.386776849239057+0i
1744.189453125+0i,0.36835674864189+0i
1746.88110351562+0i,0.364292711113449+0i
1749.57275390625+0i,0.374399648900416+0i
1752.26440429688+0i,0.3561813223583+0i
1754.9560546875+0i,0.375846517651574+0i
1757.64770507812+0i,0.381775111791612+0i
1760.33935546875+0i,0.391211073898738+0i
1763.03100585938+0i,0.39340850660945+0i
1765.72265625+0i,0.389890705808645+0i
1768.41430664062+0i,0.389516607929122+0i
